Dataset,Country,Target,Pattern,Rate,Method,MAE,RMSE,KL_Div,MASE
COVID19_Study,Bhutan,new_cases,Point,0.1,mean,70.96465008767731,150.45198102820194,18.60338135065878,2.9721733842722227
COVID19_Study,Bhutan,new_cases,Point,0.1,median,27.617886178861788,149.76575205234633,0.6648812432435975,1.1567047273432043
COVID19_Study,Bhutan,new_cases,Point,0.1,most_frequent,27.723577235772357,149.94741625742145,0.6648812432435975,1.161131327712784
COVID19_Study,Bhutan,new_cases,Point,0.1,LOCF,19.88617886178862,113.88091055404276,0.22809175954084768,0.8328818849224251
COVID19_Study,Bhutan,new_cases,Point,0.1,Linear,15.560975609756097,85.0108128517564,0.6963291084813664,0.6517317774904012
COVID19_Study,Bhutan,new_cases,Point,0.1,Rolling,15.027100271002709,79.17568341177594,0.5794655906354987,0.6293717704953457
COVID19_Study,Bhutan,new_cases,Point,0.1,MICE,83.03976153975513,153.9164113984902,1.8596147225771427,3.4779086316897034
COVID19_Study,Bhutan,new_cases,Point,0.1,SAITS,22.320925132682873,137.37245663878852,0.4513314568708993,0.93485502302523
COVID19_Study,Bhutan,new_cases,Point,0.3,mean,82.47883079491514,188.6340614651306,18.400983052692744,3.036030581407919
COVID19_Study,Bhutan,new_cases,Point,0.3,median,40.03867403314917,191.19559855309782,1.1886738803886496,1.4738162220791104
COVID19_Study,Bhutan,new_cases,Point,0.3,most_frequent,39.98342541436464,191.60295041500484,1.1886738803886496,1.4717825305901093
COVID19_Study,Bhutan,new_cases,Point,0.3,LOCF,14.820441988950277,75.57000705869247,0.23560068939982498,0.5455377419245501
COVID19_Study,Bhutan,new_cases,Point,0.3,Linear,14.418845917740946,65.12040921528713,0.4229353376722726,0.5307550644567219
COVID19_Study,Bhutan,new_cases,Point,0.3,Rolling,14.258747697974215,64.5045137755625,0.42434282618814373,0.5248618784530386
COVID19_Study,Bhutan,new_cases,Point,0.3,MICE,80.4585736378053,188.00933714705917,3.550005160571114,2.9616652872811766
COVID19_Study,Bhutan,new_cases,Point,0.3,SAITS,32.79986253495004,172.8776717109335,0.5686230962435745,1.2073569031269953
COVID19_Study,Bhutan,new_cases,Point,0.5,mean,88.09794862374085,188.8655129248507,18.701098576034312,2.919584392397437
COVID19_Study,Bhutan,new_cases,Point,0.5,median,44.53508771929825,192.50997240061153,1.7308917870538525,1.4759020959118538
COVID19_Study,Bhutan,new_cases,Point,0.5,most_frequent,44.53157894736842,192.9616951352617,1.7308917870538525,1.4757858144782583
COVID19_Study,Bhutan,new_cases,Point,0.5,LOCF,18.517543859649123,69.4597573760292,0.4555268349431431,0.6136752658006547
COVID19_Study,Bhutan,new_cases,Point,0.5,Linear,16.368440545808966,63.55148904775958,0.30072295285579326,0.5424535337313284
COVID19_Study,Bhutan,new_cases,Point,0.5,Rolling,17.83669590643275,72.30664232198272,0.4095031718383931,0.5911118226233798
COVID19_Study,Bhutan,new_cases,Point,0.5,MICE,86.24325967263191,188.24150509067556,17.949442397879224,2.8581196137164224
COVID19_Study,Bhutan,new_cases,Point,0.5,SAITS,39.51590359410671,182.17938641900935,0.9861390623684267,1.3095652871279861
COVID19_Study,Bhutan,new_cases,Sequence,0.1,mean,121.80703959773722,357.40853158249564,1.451575481829893,5.199696001377404
COVID19_Study,Bhutan,new_cases,Sequence,0.1,median,90.64864864864865,366.3599864063209,1.451575481829893,3.869607351637825
COVID19_Study,Bhutan,new_cases,Sequence,0.1,most_frequent,90.85585585585585,366.60653479084544,1.451575481829893,3.8784526079574104
COVID19_Study,Bhutan,new_cases,Sequence,0.1,LOCF,34.81981981981982,137.42860554346618,1.1382906769431382,1.4863876380520964
COVID19_Study,Bhutan,new_cases,Sequence,0.1,Linear,24.755755755755754,108.48594225213238,0.7479423264376288,1.0567731113027568
COVID19_Study,Bhutan,new_cases,Sequence,0.1,Rolling,31.635135135135137,155.4465740612748,0.7541868903829023,1.3504398941836835
COVID19_Study,Bhutan,new_cases,Sequence,0.1,MICE,135.28182980369832,345.7470166024759,2.3573241443910606,5.774907524329785
COVID19_Study,Bhutan,new_cases,Sequence,0.1,SAITS,65.21278502276746,309.4289323571221,0.7630235968633938,2.783801811795017
COVID19_Study,Bhutan,new_cases,Sequence,0.3,mean,99.2087183655432,266.3370696304844,18.153999854885093,4.326619588540854
COVID19_Study,Bhutan,new_cases,Sequence,0.3,median,71.07641196013289,274.5312404688317,1.695891976154383,3.099733585276486
COVID19_Study,Bhutan,new_cases,Sequence,0.3,most_frequent,71.19933554817275,274.7886472626768,1.695891976154383,3.10509444078061
COVID19_Study,Bhutan,new_cases,Sequence,0.3,LOCF,31.269102990033222,118.48590759665608,1.1559106806704358,1.3636857298598806
COVID19_Study,Bhutan,new_cases,Sequence,0.3,Linear,24.41624742920424,95.25277559428655,0.3733723369894621,1.064823900018708
COVID19_Study,Bhutan,new_cases,Sequence,0.3,Rolling,28.64784053156146,120.5063789822567,0.4670252658587619,1.2493691084341
COVID19_Study,Bhutan,new_cases,Sequence,0.3,MICE,97.6530794179305,265.52347444886595,2.2407910773298214,4.258776176647975
COVID19_Study,Bhutan,new_cases,Sequence,0.3,SAITS,61.07893000040443,254.76032873148893,1.3010561564140903,2.6637305605859845
COVID19_Study,Bhutan,new_cases,Sequence,0.5,mean,92.1470187848678,239.54884685048356,18.305753460239757,3.923969471766819
COVID19_Study,Bhutan,new_cases,Sequence,0.5,median,64.44902386117137,247.29210686379915,1.7252961753650147,2.744483820001107
COVID19_Study,Bhutan,new_cases,Sequence,0.5,most_frequent,64.529284164859,247.55089312193235,1.7252961753650147,2.747901608070847
COVID19_Study,Bhutan,new_cases,Sequence,0.5,LOCF,39.92190889370933,166.89557960065514,0.9103002703237002,1.7000262604187126
COVID19_Study,Bhutan,new_cases,Sequence,0.5,Linear,28.121441874587212,114.99551235271848,0.35729580068655575,1.1975176286014189
COVID19_Study,Bhutan,new_cases,Sequence,0.5,Rolling,34.23318872017354,142.1508490402479,0.8177013062939896,1.4577789843945834
COVID19_Study,Bhutan,new_cases,Sequence,0.5,MICE,91.85492294526414,239.403321076128,18.305753460239757,3.9115309233194644
COVID19_Study,Bhutan,new_cases,Sequence,0.5,SAITS,56.64924200692915,232.0659085237374,1.3179940984762497,2.412339532686265
COVID19_Study,Bhutan,new_cases,Block,0.1,mean,39.56639046596083,42.010363866234044,18.91396240351818,1.569343676171299
COVID19_Study,Bhutan,new_cases,Block,0.1,median,18.657894736842106,23.969827525014598,14.657661397599487,0.7400384207683341
COVID19_Study,Bhutan,new_cases,Block,0.1,most_frequent,19.535087719298247,24.75121829360211,14.64686733860579,0.7748310122478045
COVID19_Study,Bhutan,new_cases,Block,0.1,LOCF,17.13157894736842,22.459124664638075,15.015781346640646,0.6794993115940557
COVID19_Study,Bhutan,new_cases,Block,0.1,Linear,12.73432494279176,15.986428740971519,0.6610488575522913,0.5050885886715769
COVID19_Study,Bhutan,new_cases,Block,0.1,Rolling,16.30263157894737,21.419422650171192,14.282700004000647,0.6466203126459563
COVID19_Study,Bhutan,new_cases,Block,0.1,MICE,48.21393623842837,54.62198034271776,14.356565797841682,1.9123360773633906
COVID19_Study,Bhutan,new_cases,Block,0.1,SAITS,13.150199237622713,17.68367173492374,15.509128964783015,0.5215836413410043
COVID19_Study,Bhutan,new_cases,Block,0.3,mean,74.43751232012615,74.63882680003223,20.68020864454179,2.3004716779765477
COVID19_Study,Bhutan,new_cases,Block,0.3,median,3.2777777777777777,5.490821687782034,19.534816830695437,0.1012988573832273
COVID19_Study,Bhutan,new_cases,Block,0.3,most_frequent,2.628654970760234,6.07626963124407,10.870378817485463,0.08123788830287364
COVID19_Study,Bhutan,new_cases,Block,0.3,LOCF,2.628654970760234,6.07626963124407,10.870378817485463,0.08123788830287364
COVID19_Study,Bhutan,new_cases,Block,0.3,Linear,2.9208480384635056,5.516079291675401,2.8761862404072387,0.09026803796534051
COVID19_Study,Bhutan,new_cases,Block,0.3,Rolling,2.6228070175438596,6.071455599723612,9.747449412374369,0.08105715885169928
COVID19_Study,Bhutan,new_cases,Block,0.3,MICE,104.29151548067009,119.7504640759896,19.408245425931057,3.2231017686987586
COVID19_Study,Bhutan,new_cases,Block,0.3,SAITS,4.932543101105076,7.549617885229198,0.953329749816458,0.15243894309217573
COVID19_Study,Bhutan,new_cases,Block,0.5,mean,100.30140043844074,100.66863121446829,20.156972423537116,2.339164337949259
COVID19_Study,Bhutan,new_cases,Block,0.5,median,4.507880910683013,8.975350560745033,19.001254799889168,0.10512988073844144
COVID19_Study,Bhutan,new_cases,Block,0.5,most_frequent,4.5989492119089315,9.744368349765002,8.414686926846663,0.1072537167129554
COVID19_Study,Bhutan,new_cases,Block,0.5,LOCF,4.5989492119089315,9.744368349765002,8.414686926846663,0.1072537167129554
COVID19_Study,Bhutan,new_cases,Block,0.5,Linear,4.5989492119089315,9.744368349765002,8.414686926846663,0.1072537167129554
COVID19_Study,Bhutan,new_cases,Block,0.5,Rolling,4.599824868651488,9.744390815452405,8.414686926846663,0.10727413821271034
COVID19_Study,Bhutan,new_cases,Block,0.5,MICE,196.53017224475482,211.5192891717362,19.11912877748093,4.583349467070536
COVID19_Study,Bhutan,new_cases,Block,0.5,SAITS,4.9914847113625935,8.170158107775412,1.6464966829329197,0.11640817555089206
COVID19_Study,Czechia,new_cases,Point,0.1,mean,3690.4483341304017,4437.2131843990255,13.678608715056578,2.4383133904687204
COVID19_Study,Czechia,new_cases,Point,0.1,median,2680.528455284553,4680.825171329607,13.02647978813286,1.771049973957395
COVID19_Study,Czechia,new_cases,Point,0.1,most_frequent,2936.788617886179,5175.297239804222,6.134349583587367,1.9403634365349633
COVID19_Study,Czechia,new_cases,Point,0.1,LOCF,942.8373983739838,1871.6011991822638,0.3959203971950862,0.622941400433312
COVID19_Study,Czechia,new_cases,Point,0.1,Linear,744.4457994579947,1407.5898102246401,0.1707792376938906,0.4918622337858424
COVID19_Study,Czechia,new_cases,Point,0.1,Rolling,948.9017615176151,1682.6740272389195,0.15503184417556126,0.6269481813225142
COVID19_Study,Czechia,new_cases,Point,0.1,MICE,3085.7510603367596,4105.908743725908,0.7810383029059477,2.0387843017574983
COVID19_Study,Czechia,new_cases,Point,0.1,SAITS,1558.9604221902243,2946.7752875442075,0.6480020304190979,1.0300195879948275
COVID19_Study,Czechia,new_cases,Point,0.3,mean,4276.339998302218,5933.767424006966,13.620447586326703,2.4960490288145367
COVID19_Study,Czechia,new_cases,Point,0.3,median,3377.74861878453,6434.660830437175,12.944373969430409,1.9715518791405815
COVID19_Study,Czechia,new_cases,Point,0.3,most_frequent,3620.743093922652,6924.006203298414,6.003351502628456,2.113384877432721
COVID19_Study,Czechia,new_cases,Point,0.3,LOCF,1320.8149171270718,2606.2282493759644,0.505904774696399,0.7709440298123338
COVID19_Study,Czechia,new_cases,Point,0.3,Linear,994.045176707884,1976.3562178853429,0.2795202758059275,0.5802124010028582
